timestamp,overall_score,revitalization_score,deep_sleep_in_minutes,resting_heart_rate,restlessness,day_of_week,year,month,hour,day_of_week_encoded
2023-05-22 05:54:30,73,73,85,66,0.0826833073322932,Monday,2023,5,5,1
2023-05-24 05:58:30,64,64,74,64,0.0922098569157392,Wednesday,2023,5,5,6
2023-05-25 08:19:30,86,86,168,63,0.0517711171662125,Thursday,2023,5,8,4
2023-05-26 09:46:00,71,71,52,64,0.0818858560794044,Friday,2023,5,9,0
2023-05-27 07:00:00,71,71,57,62,0.0745614035087719,Saturday,2023,5,7,2
2023-05-28 09:00:00,75,75,120,59,0.0525030525030525,Sunday,2023,5,9,3
2023-05-29 10:23:00,82,82,124,60,0.0623229461756373,Monday,2023,5,10,1
2023-05-30 09:16:30,58,58,67,62,0.1037344398340249,Tuesday,2023,5,9,5
2023-06-02 09:25:00,86,86,137,61,0.0457456541628545,Friday,2023,6,9,0
2023-06-03 07:02:00,72,72,81,63,0.0517006802721088,Saturday,2023,6,7,2
2023-06-04 09:14:00,75,75,86,63,0.0532786885245901,Sunday,2023,6,9,3
2023-06-05 08:12:00,73,73,69,64,0.0472972972972973,Monday,2023,6,8,1
2023-06-06 06:01:00,73,73,101,62,0.0516759776536312,Tuesday,2023,6,6,5
2023-06-07 08:37:30,83,83,109,62,0.0526315789473684,Wednesday,2023,6,8,6
2023-06-08 06:00:30,67,67,60,64,0.0803418803418803,Thursday,2023,6,6,4
2023-06-09 06:26:00,71,71,68,65,0.0546218487394958,Friday,2023,6,6,0
2023-06-10 10:23:30,71,71,52,66,0.0776566757493188,Saturday,2023,6,10,2
2023-06-11 09:25:00,82,82,63,65,0.0541436464088397,Sunday,2023,6,9,3
2023-06-12 08:20:30,70,70,70,63,0.0584707646176911,Monday,2023,6,8,1
2023-06-13 05:52:30,70,70,64,63,0.0609951845906902,Tuesday,2023,6,5,5
2023-06-14 09:47:30,84,84,94,63,0.0604558969276511,Wednesday,2023,6,9,6
2023-06-15 05:59:30,66,66,52,64,0.1068139963167587,Thursday,2023,6,5,4
2023-06-16 08:54:00,79,79,134,62,0.1004830917874396,Friday,2023,6,8,0
2023-06-18 07:52:00,82,82,98,63,0.0558789289871944,Sunday,2023,6,7,3
